title,author,genre,mood,description,length,age_group,keywords,year
Frankenstein,Mary Shelley,Gothic Fiction,"dark, philosophical",A scientist creates a living being who struggles with rejection and identity.,medium,adult,"science, creation, humanity, loneliness",1818
Crime and Punishment,Fyodor Dostoevsky,Classic,"intense, psychological",A man wrestles with guilt after committing a murder for an ideological cause.,long,adult,"crime, guilt, morality, redemption",1866
Beloved,Toni Morrison,Historical Fiction,"haunting, emotional",A former slave is haunted by her past and the ghost of her dead child.,medium,adult,"slavery, trauma, memory, motherhood",1987
The Wind-Up Bird Chronicle,Haruki Murakami,Magical Realism,"mysterious, surreal",A man's mundane life becomes entangled with war memories and disappearing people.,long,adult,"mystery, dreams, Japan, war",1994
Anne of Green Gables,L. M. Montgomery,Coming-of-age,"lighthearted, nostalgic",An imaginative orphan finds a new home in Prince Edward Island.,medium,all,"orphan, nature, imagination, growing up",1908
Dune,Frank Herbert,Science Fiction,"epic, philosophical",A young nobleman becomes a messiah in a desert world of political intrigue.,long,"teen, adult","power, ecology, prophecy, rebellion",1965
The Secret Garden,Frances Hodgson Burnett,Children's Literature,"hopeful, magical",A lonely girl discovers a hidden garden that transforms her life.,medium,all,"healing, friendship, nature, growth",1911
The Girl with the Dragon Tattoo,Stieg Larsson,Mystery,"suspenseful, gritty",A journalist and hacker uncover a family’s dark secrets.,long,adult,"investigation, secrets, feminism, justice",2005
Norwegian Wood,Haruki Murakami,Romance,"melancholic, intimate","A student in Tokyo reflects on love, loss, and mental illness.",medium,adult,"youth, depression, relationships, memory",1987
Fahrenheit 451,Ray Bradbury,Dystopian,"tense, cautionary",A fireman questions society as he burns forbidden books.,short,"teen, adult","books, censorship, rebellion, freedom",1953
Emma,Jane Austen,Romance,"witty, social",A clever woman plays matchmaker but misreads others’ feelings.,long,adult,"love, society, independence, marriage",1815
Dracula,Bram Stoker,Horror,"gothic, eerie","A vampire from Transylvania comes to England, leaving a trail of fear.",long,adult,"vampire, horror, superstition, fear",1897
The Handmaid’s Tale,Margaret Atwood,Dystopian,"dark, provocative",A woman resists oppression in a theocratic dictatorship.,medium,adult,"feminism, totalitarianism, control, rebellion",1985
The Brothers Karamazov,Fyodor Dostoevsky,Philosophical Fiction,"introspective, moral","A family is torn apart by murder, faith, and existential questions.",very long,adult,"faith, family, guilt, free will",1880
The Martian,Andy Weir,Science Fiction,"humorous, suspenseful",A stranded astronaut uses science to survive on Mars.,medium,"teen, adult","space, survival, problem-solving, humor",2011
Where the Crawdads Sing,Delia Owens,Mystery,"emotional, natural","A girl grows up isolated in the marsh, entangled in a murder case.",medium,adult,"marsh, nature, solitude, justice",2018
Never Let Me Go,Kazuo Ishiguro,Science Fiction,"haunting, melancholic",Clones discover the truth about their existence and future.,medium,adult,"memory, ethics, identity, fate",2005
Little Women,Louisa May Alcott,Classic,"warm, familial",Four sisters grow up during the American Civil War.,long,all,"sisters, family, ambition, love",1868
The Night Circus,Erin Morgenstern,Fantasy,"romantic, mysterious",Two magicians compete in a magical circus that defies time.,long,adult,"magic, circus, romance, illusion",2011
Circe,Madeline Miller,Mythological Fiction,"empowering, lyrical","The story of the sorceress Circe, reimagined from mythology.",medium,adult,"mythology, feminism, magic, transformation",2018
The Bell Jar,Sylvia Plath,Literary Fiction,"raw, personal",A young woman descends into depression while pursuing success.,short,adult,"mental health, identity, ambition",1963
Educated,Tara Westover,Memoir,"inspirational, powerful",A woman escapes a strict upbringing to pursue learning.,medium,adult,"resilience, education, family",2018
The Giver,Lois Lowry,Dystopian,"thought-provoking, eerie",A boy learns the dark truth behind his society’s sameness.,short,teen,"memory, control, choice, growing up",1993
The Shadow of the Wind,Carlos Ruiz Zafón,Historical Mystery,"atmospheric, rich",A boy finds a mysterious book and uncovers hidden secrets in post-war Barcelona.,long,adult,"books, secrets, obsession, literature",2001
White Teeth,Zadie Smith,Contemporary,"satirical, multicultural","Three families collide in modern London, exploring identity and heritage.",long,adult,"immigration, family, race, modern life",2000
